,Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
0,FDW58,OUT049,1676.72151955
1,FDW14,OUT017,1386.42689535
2,NCN55,OUT010,547.593905239
3,FDQ58,OUT017,2481.29528672
4,FDY38,OUT027,6026.22558042
5,FDH56,OUT046,1954.62058979
6,FDL48,OUT018,684.698808818
7,FDC48,OUT027,2292.95860197
8,FDN33,OUT045,1558.93159092
9,FDA36,OUT017,3150.81760031
10,FDT44,OUT017,2007.78494639
11,FDQ56,OUT045,1402.91450788
12,NCC54,OUT019,512.035462742
13,FDU11,OUT049,2047.58106005
14,DRL59,OUT013,764.683090756
15,FDM24,OUT049,2448.50711901
16,FDI57,OUT045,3034.53181682
17,DRC12,OUT018,2830.33959615
18,NCM42,OUT027,2818.05050385
19,FDA46,OUT010,494.670193884
20,FDA31,OUT013,2827.90623132
21,NCJ31,OUT035,3944.18340972
22,FDG52,OUT046,756.292380172
23,NCL19,OUT019,340.539993217
24,FDS10,OUT035,2992.7411776
25,FDX22,OUT010,530.152946764
26,NCF19,OUT035,771.766354171
27,NCE06,OUT046,2695.98955293
28,DRC27,OUT046,4032.15634883
29,FDE21,OUT035,1954.39289599
30,NCR42,OUT019,144.954710707
31,FDX51,OUT018,2882.82659486
32,NCR06,OUT018,630.250260511
33,FDU31,OUT027,5511.50684807
34,FDU59,OUT017,2613.76230187
35,FDR03,OUT027,5208.80228372
36,FDS49,OUT027,2323.77834508
37,FDD48,OUT010,264.363034975
38,NCF18,OUT017,3170.34500131
39,NCD43,OUT027,2699.79406455
40,NCD54,OUT018,2029.90411003
41,FDY19,OUT010,266.557513586
42,NCY54,OUT017,2810.07013026
43,NCL19,OUT018,2092.50418824
44,FDP23,OUT010,550.580705869
45,FDC26,OUT013,1805.86191041
46,FDR14,OUT010,171.380616788
47,NCS41,OUT035,3022.56535016
48,FDF41,OUT035,4103.08562429
49,FDU34,OUT046,2129.04778257
50,DRH11,OUT046,911.215360512
51,FDM03,OUT013,1766.50609506
52,FDS31,OUT017,3085.45012106
53,FDJ20,OUT017,2118.43794662
54,FDV44,OUT027,5108.7462858
55,FDG02,OUT049,3244.92038986
56,FDA09,OUT013,3183.20076829
57,FDT04,OUT013,605.460341531
58,FDL58,OUT019,507.335769761
59,FDE52,OUT045,1416.36927873
