Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1676.72152
FDW14,OUT017,1386.426895
NCN55,OUT010,547.5939052
FDQ58,OUT017,2481.295287
FDY38,OUT027,6026.22558
FDH56,OUT046,1954.62059
FDL48,OUT018,684.6988088
FDC48,OUT027,2292.958602
FDN33,OUT045,1558.931591
FDA36,OUT017,3150.8176
FDT44,OUT017,2007.784946
FDQ56,OUT045,1402.914508
NCC54,OUT019,512.0354627
FDU11,OUT049,2047.58106
DRL59,OUT013,764.6830908
FDM24,OUT049,2448.507119
FDI57,OUT045,3034.531817
DRC12,OUT018,2830.339596
NCM42,OUT027,2818.050504
FDA46,OUT010,494.6701939
FDA31,OUT013,2827.906231
NCJ31,OUT035,3944.18341
FDG52,OUT046,756.2923802
NCL19,OUT019,340.5399932
FDS10,OUT035,2992.741178
FDX22,OUT010,530.1529468
NCF19,OUT035,771.7663542
NCE06,OUT046,2695.989553
DRC27,OUT046,4032.156349
FDE21,OUT035,1954.392896
NCR42,OUT019,144.9547107
FDX51,OUT018,2882.826595
NCR06,OUT018,630.2502605
FDU31,OUT027,5511.506848
FDU59,OUT017,2613.762302
FDR03,OUT027,5208.802284
FDS49,OUT027,2323.778345
FDD48,OUT010,264.363035
NCF18,OUT017,3170.345001
NCD43,OUT027,2699.794065
NCD54,OUT018,2029.90411
FDY19,OUT010,266.5575136
NCY54,OUT017,2810.07013
NCL19,OUT018,2092.504188
FDP23,OUT010,550.5807059
FDC26,OUT013,1805.86191
FDR14,OUT010,171.3806168
NCS41,OUT035,3022.56535
FDF41,OUT035,4103.085624
FDU34,OUT046,2129.047783
DRH11,OUT046,911.2153605
FDM03,OUT013,1766.506095
FDS31,OUT017,3085.450121
FDJ20,OUT017,2118.437947
FDV44,OUT027,5108.746286
FDG02,OUT049,3244.92039
FDA09,OUT013,3183.200768
FDT04,OUT013,605.4603415
FDL58,OUT019,507.3357698
FDE52,OUT045,1416.369279
FDW12,OUT035,2376.289526
FDL51,OUT017,3770.859806
NCY42,OUT027,3773.976205
FDR07,OUT017,1598.676246
FDN40,OUT045,2427.620122
FDB35,OUT027,2477.251833
FDA22,OUT017,2648.092058
NCL06,OUT046,3948.022455
FDI35,OUT013,3210.871233
NCW42,OUT045,3499.838102
NCX06,OUT049,3093.549641
FDC37,OUT027,2794.423863
FDZ14,OUT018,1717.483122
DRG49,OUT049,4235.117309
NCG06,OUT045,3829.243358
DRC36,OUT045,2875.062307
FDV21,OUT019,319.5682162
FDB53,OUT046,2462.39279
DRP47,OUT019,506.739378
FDA14,OUT013,2449.120291
DRC24,OUT035,2590.381656
FDW21,OUT018,1456.741867
NCH29,OUT046,1573.374121
FDU58,OUT013,3187.034455
FDY27,OUT017,2952.267683
FDV56,OUT035,1718.200464
FDT59,OUT046,3745.676216
FDB23,OUT046,3728.35067
FDR49,OUT045,766.6841655
FDB03,OUT010,539.4533087
FDN39,OUT045,2868.693704
FDX02,OUT027,5765.517
FDQ16,OUT027,2799.213125
FDU35,OUT018,1459.228078
NCT29,OUT013,2079.295869
FDZ27,OUT046,779.0944732
FDN57,OUT017,2295.409169
FDA03,OUT018,2116.262687
FDZ36,OUT045,3110.350915
NCU05,OUT013,1322.240535
FDT39,OUT018,2226.643344
FDK60,OUT017,1614.309868
FDZ25,OUT017,2787.823052
FDG12,OUT046,2045.084306
DRB01,OUT019,485.5402332
NCC43,OUT027,6048.045496
FDX13,OUT019,520.7485211
FDM22,OUT049,817.4131655
FDJ03,OUT027,1414.883399
FDU14,OUT018,3577.38271
FDB33,OUT010,392.1836093
FDP27,OUT046,3143.492473
FDO38,OUT010,221.446804
FDE28,OUT027,6000.731487
