Number of Tractor Sold,Year-Month
141,1/31/2003
157,2/28/2003
185,3/31/2003
199,4/30/2003
203,5/31/2003
189,6/30/2003
207,7/31/2003
207,8/31/2003
171,9/30/2003
150,10/31/2003
138,11/30/2003
165,12/31/2003
145,1/31/2004
168,2/29/2004
197,3/31/2004
208,4/30/2004
210,5/31/2004
209,6/30/2004
238,7/31/2004
238,8/31/2004
199,9/30/2004
168,10/31/2004
152,11/30/2004
196,12/31/2004
183,1/31/2005
200,2/28/2005
249,3/31/2005
251,4/30/2005
289,5/31/2005
249,6/30/2005
279,7/31/2005
279,8/31/2005
232,9/30/2005
204,10/31/2005
194,11/30/2005
232,12/31/2005
215,1/31/2006
239,2/28/2006
270,3/31/2006
279,4/30/2006
307,5/31/2006
305,6/30/2006
322,7/31/2006
339,8/31/2006
263,9/30/2006
241,10/31/2006
229,11/30/2006
272,12/31/2006
247,1/31/2007
261,2/28/2007
330,3/31/2007
362,4/30/2007
385,5/31/2007
340,6/30/2007
370,7/31/2007
381,8/31/2007
299,9/30/2007
266,10/31/2007
239,11/30/2007
281,12/31/2007
257,1/31/2008
250,2/29/2008
329,3/31/2008
350,4/30/2008
393,5/31/2008
370,6/30/2008
423,7/31/2008
410,8/31/2008
326,9/30/2008
289,10/31/2008
270,11/30/2008
321,12/31/2008
305,1/31/2009
310,2/28/2009
374,3/31/2009
414,4/30/2009
454,5/31/2009
441,6/30/2009
510,7/31/2009
486,8/31/2009
393,9/30/2009
345,10/31/2009
315,11/30/2009
389,12/31/2009
358,1/31/2010
368,2/28/2010
444,3/31/2010
482,4/30/2010
534,5/31/2010
524,6/30/2010
578,7/31/2010
567,8/31/2010
447,9/30/2010
386,10/31/2010
360,11/30/2010
428,12/31/2010
397,1/31/2011
400,2/28/2011
498,3/31/2011
536,4/30/2011
596,5/31/2011
591,6/30/2011
651,7/31/2011
654,8/31/2011
509,9/30/2011
437,10/31/2011
406,11/30/2011
470,12/31/2011
428,1/31/2012
423,2/29/2012
507,3/31/2012
536,4/30/2012
610,5/31/2012
609,6/30/2012
687,7/31/2012
707,8/31/2012
509,9/30/2012
452,10/31/2012
412,11/30/2012
472,12/31/2012
454,1/31/2013
455,2/28/2013
568,3/31/2013
610,4/30/2013
706,5/31/2013
661,6/30/2013
767,7/31/2013
783,8/31/2013
583,9/30/2013
513,10/31/2013
481,11/30/2013
567,12/31/2013
525,1/31/2014
520,2/28/2014
587,3/31/2014
710,4/30/2014
793,5/31/2014
749,6/30/2014
871,7/31/2014
848,8/31/2014
640,9/30/2014
581,10/31/2014
519,11/30/2014
605,12/31/2014
